days,regc2018_name,mobility
2020-03-02,Auckland Region,29.79921259670698
2020-03-02,Bay of Plenty Region,15.743933297726254
2020-03-02,Canterbury Region,17.47931538896762
2020-03-02,Gisborne Region,33.017527238275704
2020-03-02,Hawke's Bay Region,26.721985015709336
2020-03-02,Manawatu-Wanganui Region,22.126910469708886
2020-03-02,Marlborough Region,28.27161259640635
2020-03-02,Nelson Region,13.971865717648377
2020-03-02,Northland Region,31.769118484529123
2020-03-02,Otago Region,16.72088169982696
2020-03-02,Southland Region,7.90508768643842
2020-03-02,Taranaki Region,15.099261765481783
2020-03-02,Tasman Region,3.107998676962024
2020-03-02,Waikato Region,16.58853836526257
2020-03-02,Wellington Region,28.867029783065192
2020-03-02,West Coast Region,32.016643976146185
2020-03-03,Auckland Region,44.432599377416004
2020-03-03,Bay of Plenty Region,17.17244654061983
2020-03-03,Canterbury Region,20.240186637104998
2020-03-03,Gisborne Region,36.05632787189221
2020-03-03,Hawke's Bay Region,23.710347495542774
2020-03-03,Manawatu-Wanganui Region,25.82430567881719
2020-03-03,Marlborough Region,24.677967481329237
2020-03-03,Nelson Region,10.737605704546024
2020-03-03,Northland Region,55.89943956296519
2020-03-03,Otago Region,20.937480952073365
2020-03-03,Southland Region,12.431755922524895
2020-03-03,Taranaki Region,11.96128080901524
2020-03-03,Tasman Region,17.805200779151452
2020-03-03,Waikato Region,19.306814329861965
2020-03-03,Wellington Region,33.867100195332824
2020-03-03,West Coast Region,37.35375069755125
2020-03-04,Auckland Region,42.86945597333647
2020-03-04,Bay of Plenty Region,19.585935896308026
2020-03-04,Canterbury Region,22.63428055152119
2020-03-04,Gisborne Region,48.996310493796436
2020-03-04,Hawke's Bay Region,22.446284003051602
2020-03-04,Manawatu-Wanganui Region,24.444171766594586
2020-03-04,Marlborough Region,24.639643170142573
2020-03-04,Nelson Region,15.229734922903543
2020-03-04,Northland Region,53.22597668913315
2020-03-04,Otago Region,23.30279261453243
2020-03-04,Southland Region,12.722035049619326
2020-03-04,Taranaki Region,12.488465530174581
2020-03-04,Tasman Region,9.895324983489278
2020-03-04,Waikato Region,22.076674246549015
2020-03-04,Wellington Region,36.850952252446696
2020-03-04,West Coast Region,30.95872427506854
2020-03-05,Auckland Region,37.75583459974155
2020-03-05,Bay of Plenty Region,17.579309557980206
2020-03-05,Canterbury Region,20.52350579370333
2020-03-05,Gisborne Region,40.1945945945946
2020-03-05,Hawke's Bay Region,22.807042869578144
2020-03-05,Manawatu-Wanganui Region,27.533769848665855
2020-03-05,Marlborough Region,28.991334881350173
2020-03-05,Nelson Region,17.430783800345385
2020-03-05,Northland Region,58.230640341655956
2020-03-05,Otago Region,22.421237866374014
2020-03-05,Southland Region,13.799004584794172
2020-03-05,Taranaki Region,10.978845870124514
2020-03-05,Tasman Region,8.732790207475624
2020-03-05,Waikato Region,19.262097280548375
2020-03-05,Wellington Region,34.62725754625261
2020-03-05,West Coast Region,21.66928583900821
2020-03-06,Auckland Region,37.15332835428459
2020-03-06,Bay of Plenty Region,15.689170325112789
2020-03-06,Canterbury Region,17.79166508376705
2020-03-06,Gisborne Region,42.62465234968605
2020-03-06,Hawke's Bay Region,23.921775788719255
2020-03-06,Manawatu-Wanganui Region,26.434453139076673
2020-03-06,Marlborough Region,33.84698159905305
2020-03-06,Nelson Region,-12.258370766269039
2020-03-06,Northland Region,54.71513664705937
2020-03-06,Otago Region,10.842720413757394
2020-03-06,Southland Region,10.810630786651569
2020-03-06,Taranaki Region,3.6864826265478747
2020-03-06,Tasman Region,5.021702992242327
2020-03-06,Waikato Region,22.157416273892878
2020-03-06,Wellington Region,34.02208255273265
2020-03-06,West Coast Region,43.875304206744694
2020-03-07,Auckland Region,19.294864525514928
2020-03-07,Bay of Plenty Region,18.684364814261556
2020-03-07,Canterbury Region,19.357108672299834
2020-03-07,Gisborne Region,19.23414249825333
2020-03-07,Hawke's Bay Region,20.6321964161718
2020-03-07,Manawatu-Wanganui Region,18.386905569560604
2020-03-07,Marlborough Region,35.24051490514905
2020-03-07,Nelson Region,-18.26857913814435
2020-03-07,Northland Region,33.20317076027959
2020-03-07,Otago Region,23.29948869556788
2020-03-07,Southland Region,10.930244512602586
2020-03-07,Taranaki Region,6.565830580319008
2020-03-07,Tasman Region,0.33314274823708323
2020-03-07,Waikato Region,21.04445415265551
2020-03-07,Wellington Region,47.53161347817402
2020-03-07,West Coast Region,52.6247413751624
2020-03-08,Auckland Region,35.45115452972009
2020-03-08,Bay of Plenty Region,18.67606339737046
2020-03-08,Canterbury Region,17.851024977775285
2020-03-08,Gisborne Region,28.555303704655362
2020-03-08,Hawke's Bay Region,35.6485268870479
2020-03-08,Manawatu-Wanganui Region,16.865458126426088
2020-03-08,Marlborough Region,50.26921109444498
2020-03-08,Nelson Region,10.213206988451292
2020-03-08,Northland Region,57.33753547077454
2020-03-08,Otago Region,0.21836722795524274
2020-03-08,Southland Region,12.511906509896049
2020-03-08,Taranaki Region,9.488612127018325
2020-03-08,Tasman Region,17.32752879257972
2020-03-08,Waikato Region,29.979606493108378
2020-03-08,Wellington Region,42.29683217769
2020-03-08,West Coast Region,63.377301092981575
2020-03-09,Auckland Region,29.83892753943236
2020-03-09,Bay of Plenty Region,18.96393915858289
2020-03-09,Canterbury Region,11.677541178480515
2020-03-09,Gisborne Region,35.45282287584514
2020-03-09,Hawke's Bay Region,24.425429561174347
2020-03-09,Manawatu-Wanganui Region,21.082068850384314
2020-03-09,Marlborough Region,21.712879680747683
2020-03-09,Nelson Region,-10.127220758841002
2020-03-09,Northland Region,32.44136648971335
2020-03-09,Otago Region,4.884180350392507
2020-03-09,Southland Region,9.54545006456955
2020-03-09,Taranaki Region,-37.10476397851038
2020-03-09,Tasman Region,-1.5773806129315626
2020-03-09,Waikato Region,20.014468868682282
2020-03-09,Wellington Region,26.02656593192803
2020-03-09,West Coast Region,36.60332496021169
2020-03-10,Auckland Region,40.4849412623472
2020-03-10,Bay of Plenty Region,21.67774503109724
2020-03-10,Canterbury Region,15.15370132181277
2020-03-10,Gisborne Region,33.95433404241073
2020-03-10,Hawke's Bay Region,21.957171370583424
2020-03-10,Manawatu-Wanganui Region,22.394009435766286
2020-03-10,Marlborough Region,15.007156278192685
2020-03-10,Nelson Region,-14.312004413447834
2020-03-10,Northland Region,47.47573502112689
2020-03-10,Otago Region,7.364440170633027
2020-03-10,Southland Region,8.725354965660937
2020-03-10,Taranaki Region,13.061302750153688
2020-03-10,Tasman Region,-3.2937889362765427
2020-03-10,Waikato Region,25.737685042915853
2020-03-10,Wellington Region,33.86223218276784
2020-03-10,West Coast Region,35.198199135509384
2020-03-11,Auckland Region,42.63578676441765
2020-03-11,Bay of Plenty Region,23.210463036274597
2020-03-11,Canterbury Region,16.682577171144533
2020-03-11,Gisborne Region,43.531194857923595
2020-03-11,Hawke's Bay Region,21.66175147740342
2020-03-11,Manawatu-Wanganui Region,28.198127725713356
2020-03-11,Marlborough Region,18.007509957462574
2020-03-11,Nelson Region,-13.195994697594484
2020-03-11,Northland Region,50.60915848675381
2020-03-11,Otago Region,8.836854214401335
2020-03-11,Southland Region,14.243215303033677
2020-03-11,Taranaki Region,10.86408335645365
2020-03-11,Tasman Region,6.0660077965645955
2020-03-11,Waikato Region,27.614919608001625
2020-03-11,Wellington Region,35.92435116534368
2020-03-11,West Coast Region,37.43387775589792
2020-03-12,Auckland Region,40.20515576228771
2020-03-12,Bay of Plenty Region,19.09374230623729
2020-03-12,Canterbury Region,12.791432866661303
2020-03-12,Gisborne Region,36.96576576576577
2020-03-12,Hawke's Bay Region,23.83543925546642
2020-03-12,Manawatu-Wanganui Region,24.965193860268243
2020-03-12,Marlborough Region,28.255082969926942
2020-03-12,Nelson Region,-9.754331235028689
2020-03-12,Northland Region,50.51517311283409
2020-03-12,Otago Region,11.942326250260178
2020-03-12,Southland Region,9.91051070193934
2020-03-12,Taranaki Region,10.915789707698307
2020-03-12,Tasman Region,5.169760703315079
2020-03-12,Waikato Region,24.905654097131265
2020-03-12,Wellington Region,34.95224790846444
2020-03-12,West Coast Region,31.001299885532475
2020-03-13,Auckland Region,37.87405372533395
2020-03-13,Bay of Plenty Region,14.80709704829149
2020-03-13,Canterbury Region,17.177626663627503
2020-03-13,Gisborne Region,47.42552398428765
2020-03-13,Hawke's Bay Region,26.128601932901923
2020-03-13,Manawatu-Wanganui Region,23.90417603627246
2020-03-13,Marlborough Region,58.91531260088239
2020-03-13,Nelson Region,-12.875464798389574
2020-03-13,Northland Region,51.883508498043916
2020-03-13,Otago Region,12.961600898692428
2020-03-13,Southland Region,12.475854259641645
2020-03-13,Taranaki Region,27.379619260918258
2020-03-13,Tasman Region,1.2398411525674107
2020-03-13,Waikato Region,25.706383454999944
2020-03-13,Wellington Region,33.431400571046204
2020-03-13,West Coast Region,39.05435160505272
2020-03-14,Auckland Region,28.18696817286955
2020-03-14,Bay of Plenty Region,13.194314968023384
2020-03-14,Canterbury Region,11.523408222447218
2020-03-14,Gisborne Region,43.93126309999851
2020-03-14,Hawke's Bay Region,35.32319746292325
2020-03-14,Manawatu-Wanganui Region,26.393247113098013
2020-03-14,Marlborough Region,49.24457994579946
2020-03-14,Nelson Region,-7.7935077935077866
2020-03-14,Northland Region,38.73638174079426
2020-03-14,Otago Region,10.389899920032947
2020-03-14,Southland Region,23.297407515292736
2020-03-14,Taranaki Region,30.489693930435834
2020-03-14,Tasman Region,9.252525252525247
2020-03-14,Waikato Region,16.764992095593634
2020-03-14,Wellington Region,28.875435981746385
2020-03-14,West Coast Region,41.24043689553963
2020-03-15,Auckland Region,22.37701273700159
2020-03-15,Bay of Plenty Region,13.768573925906002
2020-03-15,Canterbury Region,13.132149740936198
2020-03-15,Gisborne Region,51.46048031127547
2020-03-15,Hawke's Bay Region,45.49862309739714
2020-03-15,Manawatu-Wanganui Region,20.75855031088509
2020-03-15,Marlborough Region,37.41990861562204
2020-03-15,Nelson Region,-29.899318922120223
2020-03-15,Northland Region,55.720891105103235
2020-03-15,Otago Region,18.69795890243967
2020-03-15,Southland Region,14.587121768300253
2020-03-15,Taranaki Region,27.070061467241956
2020-03-15,Tasman Region,6.7266613602767995
2020-03-15,Waikato Region,31.584893549348113
2020-03-15,Wellington Region,30.832564097059727
2020-03-15,West Coast Region,43.18179085454566
2020-03-16,Auckland Region,26.050689359755847
2020-03-16,Bay of Plenty Region,14.889965806647487
2020-03-16,Canterbury Region,9.384214499408918
2020-03-16,Gisborne Region,31.31002110158908
2020-03-16,Hawke's Bay Region,21.54538444718095
2020-03-16,Manawatu-Wanganui Region,21.534313730390473
2020-03-16,Marlborough Region,25.404406950216767
2020-03-16,Nelson Region,-14.543518466625569
2020-03-16,Northland Region,29.565166163735256
2020-03-16,Otago Region,3.0594360151208
2020-03-16,Southland Region,3.1762305182322703
2020-03-16,Taranaki Region,13.400861762131882
2020-03-16,Tasman Region,-3.0897498773908847
2020-03-16,Waikato Region,15.104647218536199
2020-03-16,Wellington Region,24.481642191800976
2020-03-16,West Coast Region,40.5418879791375
2020-03-17,Auckland Region,29.701623658237374
2020-03-17,Bay of Plenty Region,14.42841529577816
2020-03-17,Canterbury Region,10.331242448777738
2020-03-17,Gisborne Region,32.316416772684896
2020-03-17,Hawke's Bay Region,19.639413103688007
2020-03-17,Manawatu-Wanganui Region,21.817095976707723
2020-03-17,Marlborough Region,15.726175698500237
2020-03-17,Nelson Region,-14.879330078141075
2020-03-17,Northland Region,48.92809787316798
2020-03-17,Otago Region,2.557221108787196
2020-03-17,Southland Region,6.910496566093069
2020-03-17,Taranaki Region,8.902172172706411
2020-03-17,Tasman Region,-1.5480808000499757
2020-03-17,Waikato Region,18.247241830647535
2020-03-17,Wellington Region,25.065733477842883
2020-03-17,West Coast Region,44.92324571774476
2020-03-18,Auckland Region,27.289437176541675
2020-03-18,Bay of Plenty Region,14.432616834305934
2020-03-18,Canterbury Region,10.678978829413094
2020-03-18,Gisborne Region,36.36901699827971
2020-03-18,Hawke's Bay Region,17.243205082950944
2020-03-18,Manawatu-Wanganui Region,22.242843484618422
2020-03-18,Marlborough Region,13.487285086250509
2020-03-18,Nelson Region,-10.905770036227347
2020-03-18,Northland Region,46.728034860753
2020-03-18,Otago Region,0.10409671238144305
2020-03-18,Southland Region,7.178751075312794
2020-03-18,Taranaki Region,9.517556028237612
2020-03-18,Tasman Region,0.9906429535771212
2020-03-18,Waikato Region,16.96668461233045
2020-03-18,Wellington Region,23.527298353777766
2020-03-18,West Coast Region,30.607359357504155
2020-03-19,Auckland Region,24.49956143655472
2020-03-19,Bay of Plenty Region,12.766692087359118
2020-03-19,Canterbury Region,7.964315984187179
2020-03-19,Gisborne Region,31.315315315315317
2020-03-19,Hawke's Bay Region,19.451618165256537
2020-03-19,Manawatu-Wanganui Region,22.809708443200552
2020-03-19,Marlborough Region,10.585037095769385
2020-03-19,Nelson Region,-12.205448164447663
2020-03-19,Northland Region,45.17595244498018
2020-03-19,Otago Region,-1.965600105962267
2020-03-19,Southland Region,2.9239708730723
2020-03-19,Taranaki Region,7.847056469622895
2020-03-19,Tasman Region,-1.080638511610623
2020-03-19,Waikato Region,13.545111286054553
2020-03-19,Wellington Region,18.914968401766146
2020-03-19,West Coast Region,28.277360650330795
2020-03-20,Auckland Region,24.36222740917941
2020-03-20,Bay of Plenty Region,10.368407210342106
2020-03-20,Canterbury Region,7.311856551304944
2020-03-20,Gisborne Region,33.26146170828914
2020-03-20,Hawke's Bay Region,16.99265034299884
2020-03-20,Manawatu-Wanganui Region,16.773876334437155
2020-03-20,Marlborough Region,4.003730406399086
2020-03-20,Nelson Region,-17.423676368463152
2020-03-20,Northland Region,51.20701030544637
2020-03-20,Otago Region,-5.9333700311869455
2020-03-20,Southland Region,-1.9782854859122097
2020-03-20,Taranaki Region,2.294009770031004
2020-03-20,Tasman Region,-5.873660879202075
2020-03-20,Waikato Region,10.50687095049185
2020-03-20,Wellington Region,13.536395063978826
2020-03-20,West Coast Region,27.403716150963795
2020-03-21,Auckland Region,-3.5404911428977197
2020-03-21,Bay of Plenty Region,-5.833964179895721
2020-03-21,Canterbury Region,-12.511161653612984
2020-03-21,Gisborne Region,13.629944552630398
2020-03-21,Hawke's Bay Region,5.197483650986129
2020-03-21,Manawatu-Wanganui Region,0.8962429211092072
2020-03-21,Marlborough Region,13.882113821138208
2020-03-21,Nelson Region,-28.194032541858622
2020-03-21,Northland Region,25.56327853489008
2020-03-21,Otago Region,-25.881697239925373
2020-03-21,Southland Region,-16.655300628844614
2020-03-21,Taranaki Region,-14.15112094250085
2020-03-21,Tasman Region,-13.70001905850963
2020-03-21,Waikato Region,-3.9370450318785952
2020-03-21,Wellington Region,0.7446901136497486
2020-03-21,West Coast Region,17.095703218977054
